[ 2026-03-16 17:06:03,464 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-03-16 17:06:04,693 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-03-16 17:06:05,924 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-03-16 17:06:05,931 ] 107 dagshub - INFO - Accessing as is24bm035
[ 2026-03-16 17:06:07,291 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/is24bm035/Network_Security "HTTP/1.1 200 OK"
[ 2026-03-16 17:06:08,342 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-03-16 17:06:08,345 ] 107 dagshub - INFO - Initialized MLflow to track repo "is24bm035/Network_Security"
[ 2026-03-16 17:06:08,346 ] 107 dagshub - INFO - Repository is24bm035/Network_Security initialized!
[ 2026-03-16 17:06:08,346 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-16 17:06:16,019 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-16 17:06:16,019 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-16 17:06:16,020 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-16 17:06:16,090 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-16 17:06:16,090 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-16 17:06:16,106 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-16 17:06:16,175 ] 32 root - INFO - Required number of columns:2
[ 2026-03-16 17:06:16,175 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-16 17:06:16,175 ] 32 root - INFO - Required number of columns:2
[ 2026-03-16 17:06:16,175 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-16 17:06:16,315 ] 28 root - INFO - data Validation Completed
[ 2026-03-16 17:06:16,316 ] 31 root - INFO - data Transformation started
[ 2026-03-16 17:06:16,316 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-16 17:06:16,316 ] 65 root - INFO - Starting data transformation
[ 2026-03-16 17:06:16,348 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-16 17:06:16,348 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-16 17:06:16,363 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-16 17:06:16,365 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-16 17:06:16,365 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-16 17:06:16,367 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-16 17:06:16,369 ] 35 root - INFO - data Transformation completed
[ 2026-03-16 17:06:16,369 ] 37 root - INFO - Model Training sstared
